Stage,Round,date,Time,Timezone,home_team,result,HT,away_team,UTC
Apertura,1,Fri Jul 20 2018,21:00,CDT/-0500,Atlas Guadalajara,0-0,0-0,Gallos Blancos,2018-07-21T02:00Z
Apertura,1,Fri Jul 20 2018,19:00,CDT/-0500,CD Veracruz,0-2,0-2,Pumas UNAM,2018-07-21T00:00Z
Apertura,1,Sat Jul 21 2018,17:00,CDT/-0500,Cruz Azul,3-0,0-0,Puebla FC,2018-07-21T22:00Z
Apertura,1,Sat Jul 21 2018,19:00,CDT/-0500,CF Pachuca,0-1,0-0,CF Monterrey,2018-07-22T00:00Z
Apertura,1,Sat Jul 21 2018,21:00,CDT/-0500,UANL Tigres,2-0,1-0,Club León,2018-07-22T02:00Z
Apertura,1,Sat Jul 21 2018,21:00,CDT/-0500,Club Tijuana,2-1,0-0,Deportivo Guadalajara,2018-07-22T02:00Z
Apertura,1,Sun Jul 22 2018,18:00,CDT/-0500,Santos Laguna,2-1,0-1,Lobos BUAP,2018-07-22T23:00Z
Apertura,1,Sun Jul 22 2018,20:00,CDT/-0500,Club Necaxa,2-1,1-0,CF América,2018-07-23T01:00Z
Apertura,1,Sun Jul 22 2018,12:00,CDT/-0500,Deportivo Toluca,2-0,0-0,Monarcas Morelia,2018-07-22T17:00Z
Apertura,2,Fri Jul 27 2018,19:00,CDT/-0500,Monarcas Morelia,3-1,0-0,Santos Laguna,2018-07-28T00:00Z
Apertura,2,Fri Jul 27 2018,21:00,CDT/-0500,Puebla FC,2-1,2-1,Deportivo Toluca,2018-07-28T02:00Z
Apertura,2,Sat Jul 28 2018,19:00,CDT/-0500,CF América,3-0,2-0,Atlas Guadalajara,2018-07-29T00:00Z
Apertura,2,Sat Jul 28 2018,21:06,CDT/-0500,Deportivo Guadalajara,0-1,0-0,Cruz Azul,2018-07-29T02:06Z
Apertura,2,Sat Jul 28 2018,17:00,CDT/-0500,Gallos Blancos,1-0,0-0,CF Pachuca,2018-07-28T22:00Z
Apertura,2,Sun Jul 29 2018,16:00,CDT/-0500,Lobos BUAP,2-0,1-0,CD Veracruz,2018-07-29T21:00Z
Apertura,2,Sun Jul 29 2018,18:00,CDT/-0500,UANL Tigres,1-0,0-0,Club Tijuana,2018-07-29T23:00Z
Apertura,2,Sun Jul 29 2018,20:00,CDT/-0500,Club León,0-2,0-0,CF Monterrey,2018-07-30T01:00Z
Apertura,2,Sun Jul 29 2018,12:00,CDT/-0500,Pumas UNAM,5-3,1-1,Club Necaxa,2018-07-29T17:00Z
Apertura,3,Fri Aug 3 2018,19:00,CDT/-0500,CD Veracruz,2-2,1-1,Monarcas Morelia,2018-08-04T00:00Z
Apertura,3,Fri Aug 3 2018,21:00,CDT/-0500,Atlas Guadalajara,0-3,0-2,Pumas UNAM,2018-08-04T02:00Z
Apertura,3,Sat Aug 4 2018,19:00,CDT/-0500,CF Pachuca,1-3,0-1,CF América,2018-08-05T00:00Z
Apertura,3,Sat Aug 4 2018,21:00,CDT/-0500,Cruz Azul,1-0,0-0,UANL Tigres,2018-08-05T02:00Z
Apertura,3,Sat Aug 4 2018,21:06,CDT/-0500,CF Monterrey,2-1,1-1,Gallos Blancos,2018-08-05T02:06Z
Apertura,3,Sat Aug 4 2018,17:00,CDT/-0500,Club Necaxa,1-0,0-0,Lobos BUAP,2018-08-04T22:00Z
Apertura,3,Sun Aug 5 2018,12:00,CDT/-0500,Deportivo Toluca,2-2,1-1,Deportivo Guadalajara,2018-08-05T17:00Z
Apertura,3,Sun Aug 5 2018,18:00,CDT/-0500,Santos Laguna,2-0,1-0,Puebla FC,2018-08-05T23:00Z
Apertura,3,Sun Aug 5 2018,20:06,CDT/-0500,Club Tijuana,1-1,0-0,Club León,2018-08-06T01:06Z
Apertura,4,Fri Aug 10 2018,21:00,CDT/-0500,Monarcas Morelia,2-1,1-0,Club Necaxa,2018-08-11T02:00Z
Apertura,4,Fri Aug 10 2018,19:00,CDT/-0500,Puebla FC,1-2,0-0,CD Veracruz,2018-08-11T00:00Z
Apertura,4,Sat Aug 11 2018,17:00,CDT/-0500,Lobos BUAP,0-0,0-0,Atlas Guadalajara,2018-08-11T22:00Z
Apertura,4,Sat Aug 11 2018,19:00,CDT/-0500,Club León,4-0,2-0,Gallos Blancos,2018-08-12T00:00Z
Apertura,4,Sat Aug 11 2018,19:00,CDT/-0500,UANL Tigres,1-2,1-0,Deportivo Toluca,2018-08-12T00:00Z
Apertura,4,Sat Aug 11 2018,21:00,CDT/-0500,CF América,3-0,1-0,CF Monterrey,2018-08-12T02:00Z
Apertura,4,Sun Aug 12 2018,18:00,CDT/-0500,Deportivo Guadalajara,1-2,1-1,Santos Laguna,2018-08-12T23:00Z
Apertura,4,Sun Aug 12 2018,20:06,CDT/-0500,Club Tijuana,1-1,0-0,Cruz Azul,2018-08-13T01:06Z
Apertura,4,Sun Aug 12 2018,16:00,CDT/-0500,Pumas UNAM,0-0,0-0,CF Pachuca,2018-08-12T21:00Z
Apertura,5,Fri Aug 17 2018,21:00,CDT/-0500,Atlas Guadalajara,0-1,0-1,Monarcas Morelia,2018-08-18T02:00Z
Apertura,5,Fri Aug 17 2018,19:00,CDT/-0500,CD Veracruz,0-2,0-2,Deportivo Guadalajara,2018-08-18T00:00Z
Apertura,5,Sat Aug 18 2018,17:00,CDT/-0500,Cruz Azul,3-0,2-0,Club León,2018-08-18T22:00Z
Apertura,5,Sat Aug 18 2018,19:00,CDT/-0500,CF Pachuca,3-0,0-0,Lobos BUAP,2018-08-19T00:00Z
Apertura,5,Sat Aug 18 2018,21:00,CDT/-0500,Club Necaxa,2-2,0-1,Puebla FC,2018-08-19T02:00Z
Apertura,5,Sat Aug 18 2018,21:00,CDT/-0500,Gallos Blancos,1-1,0-1,CF América,2018-08-19T02:00Z
Apertura,5,Sat Aug 18 2018,21:06,CDT/-0500,CF Monterrey,1-0,1-0,Pumas UNAM,2018-08-19T02:06Z
Apertura,5,Sun Aug 19 2018,18:00,CDT/-0500,Santos Laguna,3-1,1-0,UANL Tigres,2018-08-19T23:00Z
Apertura,5,Sun Aug 19 2018,12:00,CDT/-0500,Deportivo Toluca,3-0,2-0,Club Tijuana,2018-08-19T17:00Z
Apertura,6,Tue Aug 21 2018,19:00,CDT/-0500,Pumas UNAM,0-1,0-1,Gallos Blancos,2018-08-22T00:00Z
Apertura,6,Tue Aug 21 2018,21:00,CDT/-0500,Puebla FC,2-0,1-0,Atlas Guadalajara,2018-08-22T02:00Z
Apertura,6,Tue Aug 21 2018,21:00,CDT/-0500,Deportivo Guadalajara,1-0,1-0,Club Necaxa,2018-08-22T02:00Z
Apertura,6,Tue Aug 21 2018,19:00,CDT/-0500,Monarcas Morelia,1-1,1-0,CF Pachuca,2018-08-22T00:00Z
Apertura,6,Wed Aug 22 2018,19:00,CDT/-0500,Cruz Azul,1-0,1-0,Deportivo Toluca,2018-08-23T00:00Z
Apertura,6,Wed Aug 22 2018,19:00,CDT/-0500,Club León,2-0,1-0,CF América,2018-08-23T00:00Z
Apertura,6,Wed Aug 22 2018,21:00,CDT/-0500,UANL Tigres,4-0,1-0,CD Veracruz,2018-08-23T02:00Z
Apertura,6,Wed Aug 22 2018,21:00,CDT/-0500,Lobos BUAP,1-2,0-1,CF Monterrey,2018-08-23T02:00Z
Apertura,6,Wed Aug 22 2018,21:06,CDT/-0500,Club Tijuana,2-2,0-0,Santos Laguna,2018-08-23T02:06Z
Apertura,7,Fri Aug 24 2018,21:00,CDT/-0500,Atlas Guadalajara,0-1,0-0,Deportivo Guadalajara,2018-08-25T02:00Z
Apertura,7,Sat Aug 25 2018,17:00,CDT/-0500,CF Pachuca,2-0,0-0,Puebla FC,2018-08-25T22:00Z
Apertura,7,Sat Aug 25 2018,19:00,CDT/-0500,CF América,2-2,1-1,Pumas UNAM,2018-08-26T00:00Z
Apertura,7,Sat Aug 25 2018,20:30,CDT/-0500,CD Veracruz,1-0,1-0,Club Tijuana,2018-08-26T01:30Z
Apertura,7,Sat Aug 25 2018,21:00,CDT/-0500,Club Necaxa,1-1,0-0,UANL Tigres,2018-08-26T02:00Z
Apertura,7,Sat Aug 25 2018,21:06,CDT/-0500,CF Monterrey,2-2,2-1,Monarcas Morelia,2018-08-26T02:06Z
Apertura,7,Sun Aug 26 2018,16:00,CDT/-0500,Deportivo Toluca,1-2,1-2,Club León,2018-08-26T21:00Z
Apertura,7,Sun Aug 26 2018,18:00,CDT/-0500,Santos Laguna,1-1,0-0,Cruz Azul,2018-08-26T23:00Z
Apertura,7,Sun Aug 26 2018,12:00,CDT/-0500,Gallos Blancos,2-0,1-0,Lobos BUAP,2018-08-26T17:00Z
Apertura,8,Fri Aug 31 2018,19:00,CDT/-0500,Monarcas Morelia,1-4,0-1,Gallos Blancos,2018-09-01T00:00Z
Apertura,8,Fri Aug 31 2018,21:00,CDT/-0500,Puebla FC,2-1,0-1,CF Monterrey,2018-09-01T02:00Z
Apertura,8,Fri Aug 31 2018,21:06,CDT/-0500,Club Tijuana,1-0,0-0,Club Necaxa,2018-09-01T02:06Z
Apertura,8,Sat Sep 1 2018,19:00,CDT/-0500,Club León,1-2,1-1,Pumas UNAM,2018-09-02T00:00Z
Apertura,8,Sat Sep 1 2018,19:00,CDT/-0500,UANL Tigres,3-1,0-1,Atlas Guadalajara,2018-09-02T00:00Z
Apertura,8,Sat Sep 1 2018,21:00,CDT/-0500,Deportivo Guadalajara,1-3,1-2,CF Pachuca,2018-09-02T02:00Z
Apertura,8,Sat Sep 1 2018,17:00,CDT/-0500,Cruz Azul,4-1,1-0,CD Veracruz,2018-09-01T22:00Z
Apertura,8,Sun Sep 2 2018,16:00,CDT/-0500,Lobos BUAP,0-2,0-1,CF América,2018-09-02T21:00Z
Apertura,8,Sun Sep 2 2018,12:00,CDT/-0500,Deportivo Toluca,2-1,1-1,Santos Laguna,2018-09-02T17:00Z
Apertura,9,Fri Sep 14 2018,21:00,CDT/-0500,CD Veracruz,2-3,0-2,Deportivo Toluca,2018-09-15T02:00Z
Apertura,9,Sat Sep 15 2018,17:00,CDT/-0500,Gallos Blancos,0-1,0-0,Puebla FC,2018-09-15T22:00Z
Apertura,9,Sat Sep 15 2018,19:00,CDT/-0500,CF Pachuca,1-1,1-0,UANL Tigres,2018-09-16T00:00Z
Apertura,9,Sat Sep 15 2018,19:00,CDT/-0500,CF América,2-1,1-0,Monarcas Morelia,2018-09-16T00:00Z
Apertura,9,Sat Sep 15 2018,20:45,CDT/-0500,Club Necaxa,2-0,1-0,Cruz Azul,2018-09-16T01:45Z
Apertura,9,Sat Sep 15 2018,21:06,CDT/-0500,CF Monterrey,2-4,0-1,Deportivo Guadalajara,2018-09-16T02:06Z
Apertura,9,Sun Sep 16 2018,16:00,CDT/-0500,Santos Laguna,3-0,1-0,Club León,2018-09-16T21:00Z
Apertura,9,Sun Sep 16 2018,18:00,CDT/-0500,Atlas Guadalajara,0-1,0-0,Club Tijuana,2018-09-16T23:00Z
Apertura,9,Sun Sep 16 2018,12:00,CDT/-0500,Pumas UNAM,4-2,1-0,Lobos BUAP,2018-09-16T17:00Z
Apertura,10,Fri Sep 21 2018,21:00,CDT/-0500,Puebla FC,2-3,1-2,CF América,2018-09-22T02:00Z
Apertura,10,Fri Sep 21 2018,19:00,CDT/-0500,Monarcas Morelia,0-0,0-0,Pumas UNAM,2018-09-22T00:00Z
Apertura,10,Sat Sep 22 2018,17:00,CDT/-0500,Deportivo Toluca,3-2,0-1,Club Necaxa,2018-09-22T22:00Z
Apertura,10,Sat Sep 22 2018,19:00,CDT/-0500,Club León,0-1,0-0,Lobos BUAP,2018-09-23T00:00Z
Apertura,10,Sat Sep 22 2018,21:00,CDT/-0500,Cruz Azul,2-0,1-0,Atlas Guadalajara,2018-09-23T02:00Z
Apertura,10,Sat Sep 22 2018,21:06,CDT/-0500,Club Tijuana,1-0,0-0,CF Pachuca,2018-09-23T02:06Z
Apertura,10,Sun Sep 23 2018,18:00,CDT/-0500,Santos Laguna,1-1,0-0,CD Veracruz,2018-09-23T23:00Z
Apertura,10,Sun Sep 23 2018,20:00,CDT/-0500,UANL Tigres,0-0,0-0,CF Monterrey,2018-09-24T01:00Z
Apertura,10,Sun Sep 23 2018,16:00,CDT/-0500,Deportivo Guadalajara,1-1,0-0,Gallos Blancos,2018-09-23T21:00Z
Apertura,11,Fri Sep 28 2018,19:00,CDT/-0500,CD Veracruz,0-4,0-1,Club León,2018-09-29T00:00Z
Apertura,11,Fri Sep 28 2018,21:00,CDT/-0500,Atlas Guadalajara,2-0,1-0,Deportivo Toluca,2018-09-29T02:00Z
Apertura,11,Sat Sep 29 2018,19:00,CDT/-0500,CF Pachuca,3-1,3-1,Cruz Azul,2018-09-30T00:00Z
Apertura,11,Sat Sep 29 2018,21:00,CDT/-0500,Club Necaxa,0-1,0-1,Santos Laguna,2018-09-30T02:00Z
Apertura,11,Sat Sep 29 2018,21:06,CDT/-0500,CF Monterrey,3-0,1-0,Club Tijuana,2018-09-30T02:06Z
Apertura,11,Sat Sep 29 2018,17:00,CDT/-0500,Gallos Blancos,0-2,0-0,UANL Tigres,2018-09-29T22:00Z
Apertura,11,Sun Sep 30 2018,12:00,CDT/-0500,Pumas UNAM,2-2,2-0,Puebla FC,2018-09-30T17:00Z
Apertura,11,Sun Sep 30 2018,16:00,CDT/-0500,Lobos BUAP,3-1,1-0,Monarcas Morelia,2018-09-30T21:00Z
Apertura,11,Sun Sep 30 2018,18:00,CDT/-0500,CF América,1-1,0-0,Deportivo Guadalajara,2018-09-30T23:00Z
Apertura,12,Fri Oct 5 2018,21:10,CDT/-0500,CD Veracruz,0-0,0-0,Club Necaxa,2018-10-06T02:10Z
Apertura,12,Fri Oct 5 2018,19:00,CDT/-0500,Santos Laguna,3-1,1-0,Atlas Guadalajara,2018-10-06T00:00Z
Apertura,12,Sat Oct 6 2018,19:00,CDT/-0500,Club León,1-2,0-0,Monarcas Morelia,2018-10-07T00:00Z
Apertura,12,Sat Oct 6 2018,19:00,CDT/-0500,UANL Tigres,2-3,1-1,CF América,2018-10-07T00:00Z
Apertura,12,Sat Oct 6 2018,21:06,CDT/-0500,Deportivo Guadalajara,1-2,1-1,Pumas UNAM,2018-10-07T02:06Z
Apertura,12,Sat Oct 6 2018,21:36,CDT/-0500,Club Tijuana,1-1,1-0,Gallos Blancos,2018-10-07T02:36Z
Apertura,12,Sat Oct 6 2018,17:00,CDT/-0500,Cruz Azul,2-1,1-1,CF Monterrey,2018-10-06T22:00Z
Apertura,12,Sun Oct 7 2018,12:00,CDT/-0500,Deportivo Toluca,2-1,1-1,CF Pachuca,2018-10-07T17:00Z
Apertura,12,Sun Oct 7 2018,18:00,CDT/-0500,Puebla FC,2-2,0-1,Lobos BUAP,2018-10-07T23:00Z
Apertura,13,Fri Oct 19 2018,21:00,CDT/-0500,Atlas Guadalajara,4-3,2-2,CD Veracruz,2018-10-20T02:00Z
Apertura,13,Sat Oct 20 2018,17:00,CDT/-0500,Gallos Blancos,2-0,0-0,Cruz Azul,2018-10-20T22:00Z
Apertura,13,Sat Oct 20 2018,19:00,CDT/-0500,CF Pachuca,1-1,1-0,Santos Laguna,2018-10-21T00:00Z
Apertura,13,Sat Oct 20 2018,19:00,CDT/-0500,CF América,3-0,2-0,Club Tijuana,2018-10-21T00:00Z
Apertura,13,Sat Oct 20 2018,21:00,CDT/-0500,Club Necaxa,0-2,0-1,Club León,2018-10-21T02:00Z
Apertura,13,Sat Oct 20 2018,21:06,CDT/-0500,CF Monterrey,2-1,0-0,Deportivo Toluca,2018-10-21T02:06Z
Apertura,13,Sun Oct 21 2018,16:30,CDT/-0500,Pumas UNAM,3-3,2-2,UANL Tigres,2018-10-21T21:30Z
Apertura,13,Sun Oct 21 2018,18:00,CDT/-0500,Monarcas Morelia,2-0,0-0,Puebla FC,2018-10-21T23:00Z
Apertura,13,Sun Oct 21 2018,12:00,CDT/-0500,Lobos BUAP,1-1,1-0,Deportivo Guadalajara,2018-10-21T17:00Z
Apertura,14,Fri Oct 26 2018,19:00,CDT/-0500,Santos Laguna,1-0,1-0,CF Monterrey,2018-10-27T00:00Z
Apertura,14,Fri Oct 26 2018,21:00,CDT/-0500,CD Veracruz,2-3,0-1,CF Pachuca,2018-10-27T02:00Z
Apertura,14,Sat Oct 27 2018,19:00,CDT/-0500,UANL Tigres,2-2,0-1,Lobos BUAP,2018-10-28T00:00Z
Apertura,14,Sat Oct 27 2018,19:00,CDT/-0500,Deportivo Guadalajara,1-2,1-0,Monarcas Morelia,2018-10-28T00:00Z
Apertura,14,Sat Oct 27 2018,21:00,CDT/-0500,Cruz Azul,0-0,0-0,CF América,2018-10-28T02:00Z
Apertura,14,Sat Oct 27 2018,21:06,CDT/-0500,Club Tijuana,0-1,0-0,Pumas UNAM,2018-10-28T02:06Z
Apertura,14,Sat Oct 27 2018,17:00,CDT/-0500,Club Necaxa,2-2,0-1,Atlas Guadalajara,2018-10-27T22:00Z
Apertura,14,Sun Oct 28 2018,19:00,CST/-0600,Club León,0-4,0-2,Puebla FC,2018-10-29T01:00Z
Apertura,14,Sun Oct 28 2018,12:00,CST/-0600,Deportivo Toluca,4-0,1-0,Gallos Blancos,2018-10-28T18:00Z
Apertura,15,Fri Nov 2 2018,19:00,CST/-0600,Monarcas Morelia,0-2,0-0,UANL Tigres,2018-11-03T01:00Z
Apertura,15,Fri Nov 2 2018,21:00,CST/-0600,Puebla FC,2-2,0-2,Deportivo Guadalajara,2018-11-03T03:00Z
Apertura,15,Sat Nov 3 2018,19:00,CST/-0600,CF América,1-1,1-1,Deportivo Toluca,2018-11-04T01:00Z
Apertura,15,Sat Nov 3 2018,19:06,CST/-0600,CF Monterrey,2-0,1-0,CD Veracruz,2018-11-04T01:06Z
Apertura,15,Sat Nov 3 2018,21:00,CST/-0600,Lobos BUAP,3-1,1-0,Club Tijuana,2018-11-04T03:00Z
Apertura,15,Sat Nov 3 2018,17:00,CST/-0600,CF Pachuca,6-2,3-0,Club Necaxa,2018-11-03T23:00Z
Apertura,15,Sun Nov 4 2018,12:00,CST/-0600,Pumas UNAM,1-2,0-1,Cruz Azul,2018-11-04T18:00Z
Apertura,15,Sun Nov 4 2018,16:00,CST/-0600,Gallos Blancos,2-1,1-0,Santos Laguna,2018-11-04T22:00Z
Apertura,15,Sun Nov 4 2018,18:00,CST/-0600,Atlas Guadalajara,0-0,0-0,Club León,2018-11-05T00:00Z
Apertura,16,Fri Nov 9 2018,21:00,CST/-0600,Atlas Guadalajara,0-0,0-0,CF Pachuca,2018-11-10T03:00Z
Apertura,16,Fri Nov 9 2018,19:00,CST/-0600,CD Veracruz,2-2,2-0,Gallos Blancos,2018-11-10T01:00Z
Apertura,16,Sat Nov 10 2018,17:00,CST/-0600,Cruz Azul,2-1,2-1,Lobos BUAP,2018-11-10T23:00Z
Apertura,16,Sat Nov 10 2018,19:00,CST/-0600,Club León,0-1,0-0,Deportivo Guadalajara,2018-11-11T01:00Z
Apertura,16,Sat Nov 10 2018,19:00,CST/-0600,UANL Tigres,6-1,4-1,Puebla FC,2018-11-11T01:00Z
Apertura,16,Sat Nov 10 2018,21:00,CST/-0600,Club Necaxa,1-1,0-1,CF Monterrey,2018-11-11T03:00Z
Apertura,16,Sat Nov 10 2018,21:00,CST/-0600,Club Tijuana,2-3,0-1,Monarcas Morelia,2018-11-11T03:00Z
Apertura,16,Sun Nov 11 2018,18:00,CST/-0600,Santos Laguna,1-1,0-0,CF América,2018-11-12T00:00Z
Apertura,16,Sun Nov 11 2018,12:00,CST/-0600,Deportivo Toluca,0-1,0-1,Pumas UNAM,2018-11-11T18:00Z
Apertura,17,Fri Nov 23 2018,21:00,CST/-0600,Puebla FC,0-0,0-0,Club Tijuana,2018-11-24T03:00Z
Apertura,17,Fri Nov 23 2018,19:00,CST/-0600,Monarcas Morelia,0-2,0-0,Cruz Azul,2018-11-24T01:00Z
Apertura,17,Sat Nov 24 2018,17:00,CST/-0600,Gallos Blancos,1-0,1-0,Club Necaxa,2018-11-24T23:00Z
Apertura,17,Sat Nov 24 2018,19:00,CST/-0600,CF Pachuca,1-1,1-1,Club León,2018-11-25T01:00Z
Apertura,17,Sat Nov 24 2018,19:00,CST/-0600,CF América,4-1,3-1,CD Veracruz,2018-11-25T01:00Z
Apertura,17,Sat Nov 24 2018,21:00,CST/-0600,Deportivo Guadalajara,0-1,0-0,UANL Tigres,2018-11-25T03:00Z
Apertura,17,Sat Nov 24 2018,21:06,CST/-0600,CF Monterrey,3-1,1-0,Atlas Guadalajara,2018-11-25T03:06Z
Apertura,17,Sun Nov 25 2018,16:00,CST/-0600,Lobos BUAP,2-0,1-0,Deportivo Toluca,2018-11-25T22:00Z
Apertura,17,Sun Nov 25 2018,12:00,CST/-0600,Pumas UNAM,1-1,0-1,Santos Laguna,2018-11-25T18:00Z
Clausura,1,Fri Jan 4 2019,19:00,CST/-0600,Monarcas Morelia,1-3,1-2,Deportivo Toluca,2019-01-05T01:00Z
Clausura,1,Fri Jan 4 2019,21:00,CST/-0600,Puebla FC,1-1,1-1,Cruz Azul,2019-01-05T03:00Z
Clausura,1,Sat Jan 5 2019,17:06,CST/-0600,CF Monterrey,5-0,1-0,CF Pachuca,2019-01-05T23:06Z
Clausura,1,Sat Jan 5 2019,19:06,CST/-0600,Club León,2-2,1-1,UANL Tigres,2019-01-06T01:06Z
Clausura,1,Sat Jan 5 2019,21:00,CST/-0600,Deportivo Guadalajara,2-0,0-0,Club Tijuana,2019-01-06T03:00Z
Clausura,1,Sat Jan 5 2019,17:00,CST/-0600,Gallos Blancos,1-2,1-1,Atlas Guadalajara,2019-01-05T23:00Z
Clausura,1,Sun Jan 6 2019,12:00,CST/-0600,Pumas UNAM,0-0,0-0,CD Veracruz,2019-01-06T18:00Z
Clausura,1,Sun Jan 6 2019,16:00,CST/-0600,Lobos BUAP,2-0,0-0,Santos Laguna,2019-01-06T22:00Z
Clausura,2,Fri Jan 11 2019,19:00,CST/-0600,CD Veracruz,0-1,0-0,Lobos BUAP,2019-01-12T01:00Z
Clausura,2,Fri Jan 11 2019,21:00,CST/-0600,Atlas Guadalajara,1-2,0-0,CF América,2019-01-12T03:00Z
Clausura,2,Sat Jan 12 2019,21:00,CST/-0600,Club Tijuana,0-3,0-0,UANL Tigres,2019-01-13T03:00Z
Clausura,2,Sat Jan 12 2019,17:00,CST/-0600,CF Monterrey,2-2,0-0,Club León,2019-01-12T23:00Z
Clausura,2,Sat Jan 12 2019,19:00,CST/-0600,Cruz Azul,0-1,0-0,Deportivo Guadalajara,2019-01-13T01:00Z
Clausura,2,Sat Jan 12 2019,19:06,CST/-0600,CF Pachuca,3-0,0-0,Gallos Blancos,2019-01-13T01:06Z
Clausura,2,Sat Jan 12 2019,21:00,CST/-0600,Club Necaxa,2-1,1-0,Pumas UNAM,2019-01-13T03:00Z
Clausura,2,Sun Jan 13 2019,12:00,CST/-0600,Deportivo Toluca,2-0,1-0,Puebla FC,2019-01-13T18:00Z
Clausura,2,Sun Jan 13 2019,18:00,CST/-0600,Santos Laguna,1-0,0-0,Monarcas Morelia,2019-01-14T00:00Z
Clausura,3,Fri Jan 18 2019,21:00,CST/-0600,Monarcas Morelia,2-0,0-0,CD Veracruz,2019-01-19T03:00Z
Clausura,3,Fri Jan 18 2019,21:00,CST/-0600,Puebla FC,1-1,1-1,Santos Laguna,2019-01-19T03:00Z
Clausura,3,Sat Jan 19 2019,21:00,CST/-0600,UANL Tigres,0-1,0-1,Cruz Azul,2019-01-20T03:00Z
Clausura,3,Sat Jan 19 2019,17:00,CST/-0600,Gallos Blancos,1-2,1-0,CF Monterrey,2019-01-19T23:00Z
Clausura,3,Sat Jan 19 2019,19:00,CST/-0600,CF América,3-0,1-0,CF Pachuca,2019-01-20T01:00Z
Clausura,3,Sun Jan 20 2019,12:00,CST/-0600,Pumas UNAM,2-2,2-0,Atlas Guadalajara,2019-01-20T18:00Z
Clausura,3,Sun Jan 20 2019,16:00,CST/-0600,Lobos BUAP,2-3,2-1,Club Necaxa,2019-01-20T22:00Z
Clausura,3,Sun Jan 20 2019,18:30,CST/-0600,Deportivo Guadalajara,1-0,0-0,Deportivo Toluca,2019-01-21T00:30Z
Clausura,3,Sun Jan 20 2019,20:00,CST/-0600,Club León,0-1,0-1,Club Tijuana,2019-01-21T02:00Z
Clausura,4,Fri Jan 25 2019,19:00,CST/-0600,CD Veracruz,0-1,0-1,Puebla FC,2019-01-26T01:00Z
Clausura,4,Fri Jan 25 2019,21:00,CST/-0600,Atlas Guadalajara,3-1,1-0,Lobos BUAP,2019-01-26T03:00Z
Clausura,4,Sat Jan 26 2019,21:00,CST/-0600,Club Necaxa,0-0,0-0,Monarcas Morelia,2019-01-27T03:00Z
Clausura,4,Sat Jan 26 2019,17:00,CST/-0600,Cruz Azul,1-0,1-0,Club Tijuana,2019-01-26T23:00Z
Clausura,4,Sat Jan 26 2019,17:00,CST/-0600,CF Monterrey,3-2,1-1,CF América,2019-01-26T23:00Z
Clausura,4,Sat Jan 26 2019,19:00,CST/-0600,CF Pachuca,1-0,0-0,Pumas UNAM,2019-01-27T01:00Z
Clausura,4,Sun Jan 27 2019,12:00,CST/-0600,Deportivo Toluca,0-1,0-1,UANL Tigres,2019-01-27T18:00Z
Clausura,4,Sun Jan 27 2019,16:00,CST/-0600,Gallos Blancos,0-4,0-3,Club León,2019-01-27T22:00Z
Clausura,4,Sun Jan 27 2019,18:06,CST/-0600,Santos Laguna,1-0,1-0,Deportivo Guadalajara,2019-01-28T00:06Z
Clausura,5,Fri Feb 1 2019,19:00,CST/-0600,Monarcas Morelia,1-2,0-0,Atlas Guadalajara,2019-02-02T01:00Z
Clausura,5,Fri Feb 1 2019,21:00,CST/-0600,Puebla FC,1-4,1-2,Club Necaxa,2019-02-02T03:00Z
Clausura,5,Sat Feb 2 2019,21:06,CST/-0600,Club Tijuana,2-0,1-0,Deportivo Toluca,2019-02-03T03:06Z
Clausura,5,Sat Feb 2 2019,17:00,CST/-0600,CF América,2-0,1-0,Gallos Blancos,2019-02-02T23:00Z
Clausura,5,Sat Feb 2 2019,19:00,CST/-0600,Club León,2-0,2-0,Cruz Azul,2019-02-03T01:00Z
Clausura,5,Sat Feb 2 2019,19:00,CST/-0600,UANL Tigres,2-1,1-1,Santos Laguna,2019-02-03T01:00Z
Clausura,5,Sun Feb 3 2019,16:00,CST/-0600,Lobos BUAP,1-1,0-0,CF Pachuca,2019-02-03T22:00Z
Clausura,5,Sun Feb 3 2019,12:00,CST/-0600,Pumas UNAM,1-1,0-1,CF Monterrey,2019-02-03T18:00Z
Clausura,5,Mon Feb 4 2019,18:36,CST/-0600,Deportivo Guadalajara,0-0,0-0,CD Veracruz,2019-02-05T00:36Z
Clausura,6,Fri Feb 8 2019,19:00,CST/-0600,CD Veracruz,0-2,0-0,UANL Tigres,2019-02-09T01:00Z
Clausura,6,Fri Feb 8 2019,21:00,CST/-0600,Atlas Guadalajara,1-2,1-1,Puebla FC,2019-02-09T03:00Z
Clausura,6,Sat Feb 9 2019,19:00,CST/-0600,CF Pachuca,2-0,0-0,Monarcas Morelia,2019-02-10T01:00Z
Clausura,6,Sat Feb 9 2019,17:00,CST/-0600,CF Monterrey,4-0,2-0,Lobos BUAP,2019-02-09T23:00Z
Clausura,6,Sat Feb 9 2019,17:00,CST/-0600,Gallos Blancos,0-2,0-1,Pumas UNAM,2019-02-09T23:00Z
Clausura,6,Sat Feb 9 2019,19:00,CST/-0600,CF América,0-3,0-1,Club León,2019-02-10T01:00Z
Clausura,6,Sat Feb 9 2019,21:00,CST/-0600,Club Necaxa,3-3,0-1,Deportivo Guadalajara,2019-02-10T03:00Z
